EXEC_FULLNAME,EXECRANK,CO_PER_ROL,compustat_company,CEOANN,AGE,GVKEY,YEAR,BECAMECEO,JOINED_CO,LEFTOFC,PCEO,TITLE,GENDER,CITY,STATE,NAICSDESC,TICKER,NAICS
Timothy D. Cook,,15741,APPLE INC,CEO,57,1690,2018,20110824,19980201,,CEO,CEO & Director,MALE,Cupertino,CA,Radio and Television Broadcasting and Wireless Com,AAPL,334220
Jeffrey E. Williams,,46414,APPLE INC,,54,1690,2018,,,,,Chief Operating Officer,MALE,Cupertino,CA,Radio and Television Broadcasting and Wireless Com,AAPL,334220
Angela J. Ahrendts,,49822,APPLE INC,,57,1690,2018,,,,,,FEMALE,Cupertino,CA,Radio and Television Broadcasting and Wireless Com,AAPL,334220
Luca Maestri,,49823,APPLE INC,,54,1690,2018,,,,,CFO & Senior VP,MALE,Cupertino,CA,Radio and Television Broadcasting and Wireless Com,AAPL,334220
Katherine L. Adams,4,60877,APPLE INC,,54,1690,2018,,,,,,FEMALE,Cupertino,CA,Radio and Television Broadcasting and Wireless Com,AAPL,334220
Timothy D. Cook,,15741,APPLE INC,CEO,58,1690,2019,20110824,19980201,,CEO,CEO & Director,MALE,Cupertino,CA,Radio and Television Broadcasting and Wireless Com,AAPL,334220
Jeffrey E. Williams,,46414,APPLE INC,,55,1690,2019,,,,,Chief Operating Officer,MALE,Cupertino,CA,Radio and Television Broadcasting and Wireless Com,AAPL,334220
Angela J. Ahrendts,,49822,APPLE INC,,58,1690,2019,,,,,,FEMALE,Cupertino,CA,Radio and Television Broadcasting and Wireless Com,AAPL,334220
Luca Maestri,,49823,APPLE INC,,55,1690,2019,,,,,CFO & Senior VP,MALE,Cupertino,CA,Radio and Television Broadcasting and Wireless Com,AAPL,334220
Katherine L. Adams,,60877,APPLE INC,,55,1690,2019,,,,,,FEMALE,Cupertino,CA,Radio and Television Broadcasting and Wireless Com,AAPL,334220
Deirdre OBrien,5,62858,APPLE INC,,52,1690,2019,,,,,,FEMALE,Cupertino,CA,Radio and Television Broadcasting and Wireless Com,AAPL,334220
John Daniel Rice,,25173,ARCHER-DANIELS-MIDLAND CO,,56,1722,2010,,,,,Vice Chairman and Member of Risk Management Committee,MALE,Chicago,IL,Starch and Vegetable Fats and Oils Manufacturing,ADM,31122
David J. Smith,,26369,ARCHER-DANIELS-MIDLAND CO,,55,1722,2010,,,,,Executive Vice President,MALE,Chicago,IL,Starch and Vegetable Fats and Oils Manufacturing,ADM,31122
Patricia A. Woertz,,31699,ARCHER-DANIELS-MIDLAND CO,CEO,57,1722,2010,20060427,,20150101,,Executive Chairman and Chairman of Executive Committee,FEMALE,Chicago,IL,Starch and Vegetable Fats and Oils Manufacturing,ADM,31122
Steven R. Mills,,35833,ARCHER-DANIELS-MIDLAND CO,,54,1722,2010,,,,,Senior Executive Vice President of Performance & Growth,MALE,Chicago,IL,Starch and Vegetable Fats and Oils Manufacturing,ADM,31122
Michael D'Ambrose,,42902,ARCHER-DANIELS-MIDLAND CO,,52,1722,2010,,,,,Senior Vice President of Human Resources,MALE,Chicago,IL,Starch and Vegetable Fats and Oils Manufacturing,ADM,31122
John Daniel Rice,,25173,ARCHER-DANIELS-MIDLAND CO,,57,1722,2011,,,,,Vice Chairman and Member of Risk Management Committee,MALE,Chicago,IL,Starch and Vegetable Fats and Oils Manufacturing,ADM,31122
David J. Smith,,26369,ARCHER-DANIELS-MIDLAND CO,,56,1722,2011,,,,,Executive Vice President,MALE,Chicago,IL,Starch and Vegetable Fats and Oils Manufacturing,ADM,31122
Patricia A. Woertz,,31699,ARCHER-DANIELS-MIDLAND CO,CEO,58,1722,2011,20060427,,20150101,,Executive Chairman and Chairman of Executive Committee,FEMALE,Chicago,IL,Starch and Vegetable Fats and Oils Manufacturing,ADM,31122
Steven R. Mills,,35833,ARCHER-DANIELS-MIDLAND CO,,55,1722,2011,,,,,Senior Executive Vice President of Performance & Growth,MALE,Chicago,IL,Starch and Vegetable Fats and Oils Manufacturing,ADM,31122
Ray Guy Young,2,44351,ARCHER-DANIELS-MIDLAND CO,,49,1722,2011,,,,,Executive VP & CFO,MALE,Chicago,IL,Starch and Vegetable Fats and Oils Manufacturing,ADM,31122
Juan Ricardo Luciano,1,44352,ARCHER-DANIELS-MIDLAND CO,,50,1722,2011,20150101,,,CEO,"Chairman, CEO & President",MALE,Chicago,IL,Starch and Vegetable Fats and Oils Manufacturing,ADM,31122
John Daniel Rice,,25173,ARCHER-DANIELS-MIDLAND CO,,58,1722,2012,,,,,Vice Chairman and Member of Risk Management Committee,MALE,Chicago,IL,Starch and Vegetable Fats and Oils Manufacturing,ADM,31122
David J. Smith,,26369,ARCHER-DANIELS-MIDLAND CO,,57,1722,2012,,,,,Executive Vice President,MALE,Chicago,IL,Starch and Vegetable Fats and Oils Manufacturing,ADM,31122
Patricia A. Woertz,,31699,ARCHER-DANIELS-MIDLAND CO,CEO,59,1722,2012,20060427,,20150101,,Executive Chairman and Chairman of Executive Committee,FEMALE,Chicago,IL,Starch and Vegetable Fats and Oils Manufacturing,ADM,31122
Steven R. Mills,,35833,ARCHER-DANIELS-MIDLAND CO,,56,1722,2012,,,,,Senior Executive Vice President of Performance & Growth,MALE,Chicago,IL,Starch and Vegetable Fats and Oils Manufacturing,ADM,31122
Ray Guy Young,,44351,ARCHER-DANIELS-MIDLAND CO,,50,1722,2012,,,,,Executive VP & CFO,MALE,Chicago,IL,Starch and Vegetable Fats and Oils Manufacturing,ADM,31122
Juan Ricardo Luciano,,44352,ARCHER-DANIELS-MIDLAND CO,,51,1722,2012,20150101,,,CEO,"Chairman, CEO & President",MALE,Chicago,IL,Starch and Vegetable Fats and Oils Manufacturing,ADM,31122
Matthew J. Jansen,,46632,ARCHER-DANIELS-MIDLAND CO,,46,1722,2012,,,,,Senior Vice President and President of Oilseeds Business Unit,MALE,Chicago,IL,Starch and Vegetable Fats and Oils Manufacturing,ADM,31122
Patricia A. Woertz,,31699,ARCHER-DANIELS-MIDLAND CO,CEO,60,1722,2013,20060427,,20150101,,Executive Chairman and Chairman of Executive Committee,FEMALE,Chicago,IL,Starch and Vegetable Fats and Oils Manufacturing,ADM,31122
Ray Guy Young,,44351,ARCHER-DANIELS-MIDLAND CO,,51,1722,2013,,,,,Executive VP & CFO,MALE,Chicago,IL,Starch and Vegetable Fats and Oils Manufacturing,ADM,31122
Juan Ricardo Luciano,,44352,ARCHER-DANIELS-MIDLAND CO,,52,1722,2013,20150101,,,CEO,"Chairman, CEO & President",MALE,Chicago,IL,Starch and Vegetable Fats and Oils Manufacturing,ADM,31122
Craig E. Huss,,48330,ARCHER-DANIELS-MIDLAND CO,,61,1722,2013,,,,,Chief Risk Officer and Senior Vice President,MALE,Chicago,IL,Starch and Vegetable Fats and Oils Manufacturing,ADM,31122
D. Cameron Findlay,,48331,ARCHER-DANIELS-MIDLAND CO,,54,1722,2013,,,,,,MALE,Chicago,IL,Starch and Vegetable Fats and Oils Manufacturing,ADM,31122
Patricia A. Woertz,,31699,ARCHER-DANIELS-MIDLAND CO,CEO,61,1722,2014,20060427,,20150101,,Executive Chairman and Chairman of Executive Committee,FEMALE,Chicago,IL,Starch and Vegetable Fats and Oils Manufacturing,ADM,31122
Ray Guy Young,,44351,ARCHER-DANIELS-MIDLAND CO,,52,1722,2014,,,,,Executive VP & CFO,MALE,Chicago,IL,Starch and Vegetable Fats and Oils Manufacturing,ADM,31122
Juan Ricardo Luciano,,44352,ARCHER-DANIELS-MIDLAND CO,,53,1722,2014,20150101,,,CEO,"Chairman, CEO & President",MALE,Chicago,IL,Starch and Vegetable Fats and Oils Manufacturing,ADM,31122
D. Cameron Findlay,,48331,ARCHER-DANIELS-MIDLAND CO,,55,1722,2014,,,,,,MALE,Chicago,IL,Starch and Vegetable Fats and Oils Manufacturing,ADM,31122
Joseph Daniel Taets,3,50449,ARCHER-DANIELS-MIDLAND CO,,48,1722,2014,,,,,"SVP, President of Global Business Readiness & VP of Global Procurement",MALE,Chicago,IL,Starch and Vegetable Fats and Oils Manufacturing,ADM,31122
Patricia A. Woertz,,31699,ARCHER-DANIELS-MIDLAND CO,,62,1722,2015,20060427,,20150101,,Executive Chairman and Chairman of Executive Committee,FEMALE,Chicago,IL,Starch and Vegetable Fats and Oils Manufacturing,ADM,31122
Ray Guy Young,,44351,ARCHER-DANIELS-MIDLAND CO,,53,1722,2015,,,,,Executive VP & CFO,MALE,Chicago,IL,Starch and Vegetable Fats and Oils Manufacturing,ADM,31122
Juan Ricardo Luciano,,44352,ARCHER-DANIELS-MIDLAND CO,CEO,54,1722,2015,20150101,,,CEO,"Chairman, CEO & President",MALE,Chicago,IL,Starch and Vegetable Fats and Oils Manufacturing,ADM,31122
D. Cameron Findlay,,48331,ARCHER-DANIELS-MIDLAND CO,,56,1722,2015,,,,,,MALE,Chicago,IL,Starch and Vegetable Fats and Oils Manufacturing,ADM,31122
Joseph Daniel Taets,,50449,ARCHER-DANIELS-MIDLAND CO,,49,1722,2015,,,,,"SVP, President of Global Business Readiness & VP of Global Procurement",MALE,Chicago,IL,Starch and Vegetable Fats and Oils Manufacturing,ADM,31122
Ray Guy Young,,44351,ARCHER-DANIELS-MIDLAND CO,,54,1722,2016,,,,,Executive VP & CFO,MALE,Chicago,IL,Starch and Vegetable Fats and Oils Manufacturing,ADM,31122
Juan Ricardo Luciano,,44352,ARCHER-DANIELS-MIDLAND CO,CEO,55,1722,2016,20150101,,,CEO,"Chairman, CEO & President",MALE,Chicago,IL,Starch and Vegetable Fats and Oils Manufacturing,ADM,31122
D. Cameron Findlay,,48331,ARCHER-DANIELS-MIDLAND CO,,57,1722,2016,,,,,,MALE,Chicago,IL,Starch and Vegetable Fats and Oils Manufacturing,ADM,31122
Joseph Daniel Taets,,50449,ARCHER-DANIELS-MIDLAND CO,,50,1722,2016,,,,,"SVP, President of Global Business Readiness & VP of Global Procurement",MALE,Chicago,IL,Starch and Vegetable Fats and Oils Manufacturing,ADM,31122
Gregory A. Morris,4,54038,ARCHER-DANIELS-MIDLAND CO,,44,1722,2016,,,,,Senior VP & President of Agricultural Services and Oilseeds,MALE,Chicago,IL,Starch and Vegetable Fats and Oils Manufacturing,ADM,31122
Ray Guy Young,,44351,ARCHER-DANIELS-MIDLAND CO,,55,1722,2017,,,,,Executive VP & CFO,MALE,Chicago,IL,Starch and Vegetable Fats and Oils Manufacturing,ADM,31122
Juan Ricardo Luciano,,44352,ARCHER-DANIELS-MIDLAND CO,CEO,56,1722,2017,20150101,,,CEO,"Chairman, CEO & President",MALE,Chicago,IL,Starch and Vegetable Fats and Oils Manufacturing,ADM,31122
D. Cameron Findlay,,48331,ARCHER-DANIELS-MIDLAND CO,,58,1722,2017,,,,,,MALE,Chicago,IL,Starch and Vegetable Fats and Oils Manufacturing,ADM,31122
Joseph Daniel Taets,,50449,ARCHER-DANIELS-MIDLAND CO,,51,1722,2017,,,,,"SVP, President of Global Business Readiness & VP of Global Procurement",MALE,Chicago,IL,Starch and Vegetable Fats and Oils Manufacturing,ADM,31122
Gregory A. Morris,,54038,ARCHER-DANIELS-MIDLAND CO,,45,1722,2017,,,,,Senior VP & President of Agricultural Services and Oilseeds,MALE,Chicago,IL,Starch and Vegetable Fats and Oils Manufacturing,ADM,31122
Ray Guy Young,,44351,ARCHER-DANIELS-MIDLAND CO,,56,1722,2018,,,,,Executive VP & CFO,MALE,Chicago,IL,Starch and Vegetable Fats and Oils Manufacturing,ADM,31122
Juan Ricardo Luciano,,44352,ARCHER-DANIELS-MIDLAND CO,CEO,57,1722,2018,20150101,,,CEO,"Chairman, CEO & President",MALE,Chicago,IL,Starch and Vegetable Fats and Oils Manufacturing,ADM,31122
Joseph Daniel Taets,,50449,ARCHER-DANIELS-MIDLAND CO,,52,1722,2018,,,,,"SVP, President of Global Business Readiness & VP of Global Procurement",MALE,Chicago,IL,Starch and Vegetable Fats and Oils Manufacturing,ADM,31122
Gregory A. Morris,,54038,ARCHER-DANIELS-MIDLAND CO,,46,1722,2018,,,,,Senior VP & President of Agricultural Services and Oilseeds,MALE,Chicago,IL,Starch and Vegetable Fats and Oils Manufacturing,ADM,31122
Christopher M. Cuddy,,61554,ARCHER-DANIELS-MIDLAND CO,,44,1722,2018,,,,,Senior VP & President of Carbohydrate Solutions,MALE,Chicago,IL,Starch and Vegetable Fats and Oils Manufacturing,ADM,31122
Ray Guy Young,,44351,ARCHER-DANIELS-MIDLAND CO,,57,1722,2019,,,,,Executive VP & CFO,MALE,Chicago,IL,Starch and Vegetable Fats and Oils Manufacturing,ADM,31122
Juan Ricardo Luciano,,44352,ARCHER-DANIELS-MIDLAND CO,CEO,58,1722,2019,20150101,,,CEO,"Chairman, CEO & President",MALE,Chicago,IL,Starch and Vegetable Fats and Oils Manufacturing,ADM,31122
Joseph Daniel Taets,,50449,ARCHER-DANIELS-MIDLAND CO,,53,1722,2019,,,,,"SVP, President of Global Business Readiness & VP of Global Procurement",MALE,Chicago,IL,Starch and Vegetable Fats and Oils Manufacturing,ADM,31122
Gregory A. Morris,,54038,ARCHER-DANIELS-MIDLAND CO,,47,1722,2019,,,,,Senior VP & President of Agricultural Services and Oilseeds,MALE,Chicago,IL,Starch and Vegetable Fats and Oils Manufacturing,ADM,31122
Vincent F. Macciocchi,5,63510,ARCHER-DANIELS-MIDLAND CO,,53,1722,2019,,,,,"Chief Sales & Marketing Officer, President of Nutrition and Senior VP",MALE,Chicago,IL,Starch and Vegetable Fats and Oils Manufacturing,ADM,31122
Ivan G. Seidenberg,,13973,VERIZON COMMUNICATIONS INC,CEO,63,2136,2010,20000601,19970801,20110801,,chairman & CEO,MALE,New York,NY,Wireless Telecommunications Carriers (except Satel,VZ,517312
Lowell C. McAdam,,34098,VERIZON COMMUNICATIONS INC,,55,2136,2010,20110801,,20180801,,Executive Chairman & Executive Officer,MALE,New York,NY,Wireless Telecommunications Carriers (except Satel,VZ,517312
John F. Killian,,38825,VERIZON COMMUNICATIONS INC,,55,2136,2010,,,,,,MALE,New York,NY,Wireless Telecommunications Carriers (except Satel,VZ,517312
Daniel S. Mead,,43274,VERIZON COMMUNICATIONS INC,,56,2136,2010,,,,,President of Strategic Initiatives and Executive Vice President,MALE,New York,NY,Wireless Telecommunications Carriers (except Satel,VZ,517312
Francis J. Shammo,,43275,VERIZON COMMUNICATIONS INC,,49,2136,2010,,,,,Chief Financial Officer and Executive Vice President,MALE,New York,NY,Wireless Telecommunications Carriers (except Satel,VZ,517312
Virginia P. Ruesterholz,,43276,VERIZON COMMUNICATIONS INC,,49,2136,2010,,,,,Executive Vice President,FEMALE,New York,NY,Wireless Telecommunications Carriers (except Satel,VZ,517312
Ivan G. Seidenberg,,13973,VERIZON COMMUNICATIONS INC,CEO,64,2136,2011,20000601,19970801,20110801,,chairman & CEO,MALE,New York,NY,Wireless Telecommunications Carriers (except Satel,VZ,517312
Lowell C. McAdam,,34098,VERIZON COMMUNICATIONS INC,,56,2136,2011,20110801,,20180801,,Executive Chairman & Executive Officer,MALE,New York,NY,Wireless Telecommunications Carriers (except Satel,VZ,517312
Daniel S. Mead,,43274,VERIZON COMMUNICATIONS INC,,57,2136,2011,,,,,President of Strategic Initiatives and Executive Vice President,MALE,New York,NY,Wireless Telecommunications Carriers (except Satel,VZ,517312
Francis J. Shammo,,43275,VERIZON COMMUNICATIONS INC,,50,2136,2011,,,,,Chief Financial Officer and Executive Vice President,MALE,New York,NY,Wireless Telecommunications Carriers (except Satel,VZ,517312
Virginia P. Ruesterholz,,43276,VERIZON COMMUNICATIONS INC,,50,2136,2011,,,,,Executive Vice President,FEMALE,New York,NY,Wireless Telecommunications Carriers (except Satel,VZ,517312
Randal S. Milch,,45059,VERIZON COMMUNICATIONS INC,,52,2136,2011,,,,,Executive Vice President and Strategic Policy Adviser,MALE,New York,NY,Wireless Telecommunications Carriers (except Satel,VZ,517312
Lowell C. McAdam,,34098,VERIZON COMMUNICATIONS INC,CEO,57,2136,2012,20110801,,20180801,,Executive Chairman & Executive Officer,MALE,New York,NY,Wireless Telecommunications Carriers (except Satel,VZ,517312
Daniel S. Mead,,43274,VERIZON COMMUNICATIONS INC,,58,2136,2012,,,,,President of Strategic Initiatives and Executive Vice President,MALE,New York,NY,Wireless Telecommunications Carriers (except Satel,VZ,517312
Francis J. Shammo,,43275,VERIZON COMMUNICATIONS INC,,51,2136,2012,,,,,Chief Financial Officer and Executive Vice President,MALE,New York,NY,Wireless Telecommunications Carriers (except Satel,VZ,517312
Randal S. Milch,,45059,VERIZON COMMUNICATIONS INC,,53,2136,2012,,,,,Executive Vice President and Strategic Policy Adviser,MALE,New York,NY,Wireless Telecommunications Carriers (except Satel,VZ,517312
John G. Stratton,,46637,VERIZON COMMUNICATIONS INC,,50,2136,2012,,,,,Executive VP & President of Global Operations,MALE,New York,NY,Wireless Telecommunications Carriers (except Satel,VZ,517312
Lowell C. McAdam,,34098,VERIZON COMMUNICATIONS INC,CEO,58,2136,2013,20110801,,20180801,,Executive Chairman & Executive Officer,MALE,New York,NY,Wireless Telecommunications Carriers (except Satel,VZ,517312
Daniel S. Mead,,43274,VERIZON COMMUNICATIONS INC,,59,2136,2013,,,,,President of Strategic Initiatives and Executive Vice President,MALE,New York,NY,Wireless Telecommunications Carriers (except Satel,VZ,517312
Francis J. Shammo,,43275,VERIZON COMMUNICATIONS INC,,52,2136,2013,,,,,Chief Financial Officer and Executive Vice President,MALE,New York,NY,Wireless Telecommunications Carriers (except Satel,VZ,517312
Randal S. Milch,,45059,VERIZON COMMUNICATIONS INC,,54,2136,2013,,,,,Executive Vice President and Strategic Policy Adviser,MALE,New York,NY,Wireless Telecommunications Carriers (except Satel,VZ,517312
John G. Stratton,,46637,VERIZON COMMUNICATIONS INC,,51,2136,2013,,,,,Executive VP & President of Global Operations,MALE,New York,NY,Wireless Telecommunications Carriers (except Satel,VZ,517312
Lowell C. McAdam,,34098,VERIZON COMMUNICATIONS INC,CEO,59,2136,2014,20110801,,20180801,,Executive Chairman & Executive Officer,MALE,New York,NY,Wireless Telecommunications Carriers (except Satel,VZ,517312
Daniel S. Mead,,43274,VERIZON COMMUNICATIONS INC,,60,2136,2014,,,,,President of Strategic Initiatives and Executive Vice President,MALE,New York,NY,Wireless Telecommunications Carriers (except Satel,VZ,517312
Francis J. Shammo,,43275,VERIZON COMMUNICATIONS INC,,53,2136,2014,,,,,Chief Financial Officer and Executive Vice President,MALE,New York,NY,Wireless Telecommunications Carriers (except Satel,VZ,517312
Randal S. Milch,,45059,VERIZON COMMUNICATIONS INC,,55,2136,2014,,,,,Executive Vice President and Strategic Policy Adviser,MALE,New York,NY,Wireless Telecommunications Carriers (except Satel,VZ,517312
John G. Stratton,,46637,VERIZON COMMUNICATIONS INC,,52,2136,2014,,,,,Executive VP & President of Global Operations,MALE,New York,NY,Wireless Telecommunications Carriers (except Satel,VZ,517312
Lowell C. McAdam,,34098,VERIZON COMMUNICATIONS INC,CEO,60,2136,2015,20110801,,20180801,,Executive Chairman & Executive Officer,MALE,New York,NY,Wireless Telecommunications Carriers (except Satel,VZ,517312
Daniel S. Mead,,43274,VERIZON COMMUNICATIONS INC,,61,2136,2015,,,,,President of Strategic Initiatives and Executive Vice President,MALE,New York,NY,Wireless Telecommunications Carriers (except Satel,VZ,517312
Francis J. Shammo,,43275,VERIZON COMMUNICATIONS INC,,54,2136,2015,,,,,Chief Financial Officer and Executive Vice President,MALE,New York,NY,Wireless Telecommunications Carriers (except Satel,VZ,517312
John G. Stratton,,46637,VERIZON COMMUNICATIONS INC,,53,2136,2015,,,,,Executive VP & President of Global Operations,MALE,New York,NY,Wireless Telecommunications Carriers (except Satel,VZ,517312
Marni M. Walden,,51964,VERIZON COMMUNICATIONS INC,,47,2136,2015,,,,,Strategic Advisor,FEMALE,New York,NY,Wireless Telecommunications Carriers (except Satel,VZ,517312
Lowell C. McAdam,,34098,VERIZON COMMUNICATIONS INC,CEO,61,2136,2016,20110801,,20180801,,Executive Chairman & Executive Officer,MALE,New York,NY,Wireless Telecommunications Carriers (except Satel,VZ,517312
Francis J. Shammo,,43275,VERIZON COMMUNICATIONS INC,,55,2136,2016,,,,,Chief Financial Officer and Executive Vice President,MALE,New York,NY,Wireless Telecommunications Carriers (except Satel,VZ,517312
John G. Stratton,,46637,VERIZON COMMUNICATIONS INC,,54,2136,2016,,,,,Executive VP & President of Global Operations,MALE,New York,NY,Wireless Telecommunications Carriers (except Satel,VZ,517312
Marni M. Walden,,51964,VERIZON COMMUNICATIONS INC,,48,2136,2016,,,,,Strategic Advisor,FEMALE,New York,NY,Wireless Telecommunications Carriers (except Satel,VZ,517312
Matthew D. Ellis,3,54047,VERIZON COMMUNICATIONS INC,,45,2136,2016,,,,,Executive VP & CFO,MALE,New York,NY,Wireless Telecommunications Carriers (except Satel,VZ,517312
Marc Christopher Reed,,54048,VERIZON COMMUNICATIONS INC,,57,2136,2016,,,,,Executive VP & Chief Administrative Officer,MALE,New York,NY,Wireless Telecommunications Carriers (except Satel,VZ,517312
Lowell C. McAdam,,34098,VERIZON COMMUNICATIONS INC,CEO,62,2136,2017,20110801,,20180801,,Executive Chairman & Executive Officer,MALE,New York,NY,Wireless Telecommunications Carriers (except Satel,VZ,517312
John G. Stratton,,46637,VERIZON COMMUNICATIONS INC,,55,2136,2017,,,,,Executive VP & President of Global Operations,MALE,New York,NY,Wireless Telecommunications Carriers (except Satel,VZ,517312
Marni M. Walden,,51964,VERIZON COMMUNICATIONS INC,,49,2136,2017,,,,,Strategic Advisor,FEMALE,New York,NY,Wireless Telecommunications Carriers (except Satel,VZ,517312
Matthew D. Ellis,,54047,VERIZON COMMUNICATIONS INC,,46,2136,2017,,,,,Executive VP & CFO,MALE,New York,NY,Wireless Telecommunications Carriers (except Satel,VZ,517312
Marc Christopher Reed,,54048,VERIZON COMMUNICATIONS INC,,58,2136,2017,,,,,Executive VP & Chief Administrative Officer,MALE,New York,NY,Wireless Telecommunications Carriers (except Satel,VZ,517312
Hans E. Vestberg,1,56554,VERIZON COMMUNICATIONS INC,,52,2136,2017,20180801,,,CEO,Chairman & CEO,MALE,New York,NY,Wireless Telecommunications Carriers (except Satel,VZ,517312
Lowell C. McAdam,,34098,VERIZON COMMUNICATIONS INC,CEO,63,2136,2018,20110801,,20180801,,Executive Chairman & Executive Officer,MALE,New York,NY,Wireless Telecommunications Carriers (except Satel,VZ,517312
John G. Stratton,,46637,VERIZON COMMUNICATIONS INC,,56,2136,2018,,,,,Executive VP & President of Global Operations,MALE,New York,NY,Wireless Telecommunications Carriers (except Satel,VZ,517312
Matthew D. Ellis,,54047,VERIZON COMMUNICATIONS INC,,47,2136,2018,,,,,Executive VP & CFO,MALE,New York,NY,Wireless Telecommunications Carriers (except Satel,VZ,517312
Marc Christopher Reed,,54048,VERIZON COMMUNICATIONS INC,,59,2136,2018,,,,,Executive VP & Chief Administrative Officer,MALE,New York,NY,Wireless Telecommunications Carriers (except Satel,VZ,517312
Hans E. Vestberg,,56554,VERIZON COMMUNICATIONS INC,,53,2136,2018,20180801,,,CEO,Chairman & CEO,MALE,New York,NY,Wireless Telecommunications Carriers (except Satel,VZ,517312
K. Guru Gowrappan,4,60889,VERIZON COMMUNICATIONS INC,,37,2136,2018,,,,,Executive VP & CEO of Verizon Media Group,MALE,New York,NY,Wireless Telecommunications Carriers (except Satel,VZ,517312
Timothy M. Armstrong,,60890,VERIZON COMMUNICATIONS INC,,47,2136,2018,,,,,,MALE,New York,NY,Wireless Telecommunications Carriers (except Satel,VZ,517312
Ronan J. Dunne,2,60891,VERIZON COMMUNICATIONS INC,,55,2136,2018,,,,,Executive VP & CEO of Verizon Consumer Group,MALE,New York,NY,Wireless Telecommunications Carriers (except Satel,VZ,517312
Matthew D. Ellis,,54047,VERIZON COMMUNICATIONS INC,,48,2136,2019,,,,,Executive VP & CFO,MALE,New York,NY,Wireless Telecommunications Carriers (except Satel,VZ,517312
Hans E. Vestberg,,56554,VERIZON COMMUNICATIONS INC,CEO,54,2136,2019,20180801,,,CEO,Chairman & CEO,MALE,New York,NY,Wireless Telecommunications Carriers (except Satel,VZ,517312
K. Guru Gowrappan,,60889,VERIZON COMMUNICATIONS INC,,38,2136,2019,,,,,Executive VP & CEO of Verizon Media Group,MALE,New York,NY,Wireless Telecommunications Carriers (except Satel,VZ,517312
Ronan J. Dunne,,60891,VERIZON COMMUNICATIONS INC,,56,2136,2019,,,,,Executive VP & CEO of Verizon Consumer Group,MALE,New York,NY,Wireless Telecommunications Carriers (except Satel,VZ,517312
Tami A. Erwin,5,63516,VERIZON COMMUNICATIONS INC,,54,2136,2019,,,,,Executive VP & CEO of Verizon Business Group,FEMALE,New York,NY,Wireless Telecommunications Carriers (except Satel,VZ,517312
Brian J. Dunn,,29475,BEST BUY CO INC,CEO,51,2184,2010,20090624,,20120409,,president & chief operating officer,MALE,Richfield,MN,Electronics Stores,BBY,443142
Shari L. Ballard,,32550,BEST BUY CO INC,,45,2184,2010,,,,,Advisor,FEMALE,Richfield,MN,Electronics Stores,BBY,443142
James L. Muehlbauer,,34336,BEST BUY CO INC,,50,2184,2010,,,,,Chief Financial Officer and Executive Vice President of Finance,MALE,Richfield,MN,Electronics Stores,BBY,443142
Michael A. Vitelli,,42487,BEST BUY CO INC,,55,2184,2010,,,,,Executive Vice President and President of US Operations,MALE,Richfield,MN,Electronics Stores,BBY,443142
Carol A. Surface,,44354,BEST BUY CO INC,,45,2184,2010,,,,,Chief Human Resources Officer and Executive Vice President,FEMALE,Richfield,MN,Electronics Stores,BBY,443142
Keith J. Nelsen,,47504,BEST BUY CO INC,,47,2184,2010,,,,,Advisor,MALE,Richfield,MN,Electronics Stores,BBY,443142
Brian J. Dunn,,29475,BEST BUY CO INC,CEO,52,2184,2011,20090624,,20120409,,president & chief operating officer,MALE,Richfield,MN,Electronics Stores,BBY,443142
Shari L. Ballard,,32550,BEST BUY CO INC,,46,2184,2011,,,,,Advisor,FEMALE,Richfield,MN,Electronics Stores,BBY,443142
James L. Muehlbauer,,34336,BEST BUY CO INC,,51,2184,2011,,,,,Chief Financial Officer and Executive Vice President of Finance,MALE,Richfield,MN,Electronics Stores,BBY,443142
Michael A. Vitelli,,42487,BEST BUY CO INC,,56,2184,2011,,,,,Executive Vice President and President of US Operations,MALE,Richfield,MN,Electronics Stores,BBY,443142
Carol A. Surface,,44354,BEST BUY CO INC,,46,2184,2011,,,,,Chief Human Resources Officer and Executive Vice President,FEMALE,Richfield,MN,Electronics Stores,BBY,443142
Keith J. Nelsen,,47504,BEST BUY CO INC,,48,2184,2011,,,,,Advisor,MALE,Richfield,MN,Electronics Stores,BBY,443142
Brian J. Dunn,,29475,BEST BUY CO INC,,53,2184,2012,20090624,,20120409,,president & chief operating officer,MALE,Richfield,MN,Electronics Stores,BBY,443142
Shari L. Ballard,,32550,BEST BUY CO INC,,47,2184,2012,,,,,Advisor,FEMALE,Richfield,MN,Electronics Stores,BBY,443142
James L. Muehlbauer,,34336,BEST BUY CO INC,,52,2184,2012,,,,,Chief Financial Officer and Executive Vice President of Finance,MALE,Richfield,MN,Electronics Stores,BBY,443142
Michael A. Vitelli,,42487,BEST BUY CO INC,,57,2184,2012,,,,,Executive Vice President and President of US Operations,MALE,Richfield,MN,Electronics Stores,BBY,443142
Carol A. Surface,,44354,BEST BUY CO INC,,47,2184,2012,,,,,Chief Human Resources Officer and Executive Vice President,FEMALE,Richfield,MN,Electronics Stores,BBY,443142
"George Lawrence Mikan, III",,47501,BEST BUY CO INC,,41,2184,2012,20120401,,20120901,,"Director, Chairman of Audit Committee, Member of Compensation Committee, and Member of Human Resources Committee",MALE,Richfield,MN,Electronics Stores,BBY,443142
